Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts
Aesthetic,Aesthetic,Tollan Kim,3/4/2022,114,144,5712985,2311,535908,44,3120073,56276,20114495,2452502310,33870791454,,4,22,1,21564,81,,249823
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,116,143.9,3358704125,392082,123917182,79,2763188773,19410390,2714134,178829434,1597453878,484189798,351,273683,99,546367356,906813,,1569935
Hands,Hands,Dianï¿½,8/1/2022,115,143.9,126914,8,212,1,2435813922,7208467,33,188,6415,26630093,,658,,,,,295
Saturn,Saturn - Single,SZA,2/24/2024,117,142.8,343090427,21104,154253718,87,38173339,349660,,,,196380893,120,158378,87,11441987,7496,166254,745798
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,6/4/2024,118,142.4,,,,,39323383,44223,,,,,,,,,,,
Believer,Believer,Imagine Dragons,1/31/2017,119,142.2,3006226762,335880,89243475,81,4495059988,42240881,5745117,453132709,5876458723,276194776,226,253782,71,614578695,844301,2943611,21306706
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,120,141,787155930,183850,58397185,77,357772653,2590835,931660,95662104,836550889,3934416606,150,463665,69,182315884,53326,48937045,3534164
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,121,139.5,532605345,128534,31725858,81,97958347,1237197,322900,108595670,947194801,259363238,46,107637,40,6334599,8712,12785993,1861958
ANDO,ANDO,Jere Klein,9/27/2023,122,139,292789738,28591,30905957,72,406307035,809942,1900606,68341852,872862858,1969191415,11,1754,1,764473,5168,,1195337
First Class,First Class,Jack Harlow,4/8/2022,123,138.6,818858244,223609,49586777,71,231229581,2756840,1610614,624748318,6890780336,3849170813,148,666615,77,117451442,40907,24111168,4244972
